sep=;
Type;FSWP-26;
Version;1.90SP1;
Date;18.Apr 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;20000000000.000000;Hz
Span;20000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;300000.000000;Hz
VBW;300000.000000;Hz
SWT;0.060000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
2647352647.3526511192;-80.2016143798828125;
2667332667.3326711655;-50.7097320556640625;
2687312687.3126912117;-80.33493804931640625;
2707292707.2927112579;-81.93093109130859375;
2727272727.2727313042;-79.793670654296875;
2747252747.2527513504;-81.5116119384765625;
2767232767.2327713966;-79.85065460205078125;
2787212787.2127914429;-80.0818634033203125;
2807192807.1928114891;-80.6739654541015625;
2827172827.1728315353;-79.1994781494140625;
2847152847.1528515816;-80.9694976806640625;
2867132867.1328716278;-76.98409271240234375;
2887112887.112891674;-80.46312713623046875;
2907092907.0929117203;-80.98016357421875;
2927072927.0729317665;-79.88584136962890625;
2947052947.0529518127;-81.28972625732421875;
2967032967.032971859;-81.57157135009765625;
2987012987.0129919052;-80.66860198974609375;
3006993006.9930119514;-80.6545867919921875;
3026973026.9730319977;-79.5362396240234375;
3046953046.9530520439;-80.3399658203125;
3066933066.9330720901;-81.27301788330078125;
3086913086.9130921364;-79.6600494384765625;
3106893106.8931121826;-80.1969757080078125;
3126873126.8731322289;-79.9846954345703125;
3146853146.8531522751;-80.67975616455078125;
3166833166.8331723213;-82.08104705810546875;
3186813186.8131923676;-80.9479522705078125;
3206793206.7932124138;-82.43733978271484375;
3226773226.77323246;-81.96060943603515625;
3246753246.7532525063;-82.4498138427734375;
3266733266.7332725525;-79.334503173828125;
3286713286.7132925987;-81.0964508056640625;
3306693306.693312645;-80.9885711669921875;
3326673326.6733326912;-81.63181304931640625;
3346653346.6533527374;-80.23448944091796875;
3366633366.6333727837;-82.47603607177734375;
3386613386.6133928299;-82.2029876708984375;
3406593406.5934128761;-82.48834228515625;
3426573426.5734329224;-81.21136474609375;
3446553446.5534529686;-79.44004058837890625;
3466533466.5334730148;-81.10242462158203125;
3486513486.5134930611;-79.9874114990234375;
3506493506.4935131073;-81.09262847900390625;
3526473526.4735331535;-79.33742523193359375;
3546453546.4535531998;-78.50408935546875;
3566433566.433573246;-81.34862518310546875;
3586413586.4135932922;-80.0789947509765625;
3606393606.3936133385;-79.8180999755859375;
